"geneID","Name","BaseMean","Log2FC","StErr","WaldStats","P-val","P-agj","Function"
"vnz_02680","Lantipeptide",13.74740757,-1.118474,0.801384,-1.39567692,0.162812,0.343427,"Biosynthetic"
"vnz_04400","Chloramphenicol",15.50696292,1.736606,0.973815,1.783301238,0.074537,0.205196,"Biosynthetic"
"vnz_04405","Chloramphenicol",18.94191237,2.211546,1.280149,1.727569024,0.084066,0.223082,"Biosynthetic"
"vnz_04410","Chloramphenicol",49.57128782,0.032669,0.746327,0.043772717,0.965086,0.98527,"Biosynthetic"
"vnz_04415","Chloramphenicol",226.9840398,0.069014,0.455522,0.15150594,0.879577,0.939294,"Biosynthetic"
"vnz_04420","Chloramphenicol",86.2723756,1.389993,0.739342,1.880041438,0.060102,0.17659,"Biosynthetic"
"vnz_04425","Chloramphenicol",12.53173713,1.944388,1.35246,1.437666968,0.150529,0.326826,"Biosynthetic"
"vnz_04430","Chloramphenicol",47.0444019,2.190385,0.925487,2.366736978,0.017946,0.071989,"Biosynthetic"
"vnz_04435","Chloramphenicol",101.8585509,2.358114,0.775313,3.041501449,0.002354,0.014265,"Biosynthetic"
"vnz_04440","Chloramphenicol",103.1349864,2.432453,0.858255,2.834185478,0.004594,0.024598,"Biosynthetic"
"vnz_04445","Chloramphenicol",173.7013511,1.727544,0.621501,2.779633884,0.005442,0.02814,"Biosynthetic"
"vnz_04450","Chloramphenicol",55.68438963,1.604524,0.823258,1.948992175,0.051296,0.158134,"Biosynthetic"
"vnz_04455","Chloramphenicol",107.3585987,2.301295,0.749862,3.068958206,0.002148,0.013152,"Biosynthetic"
"vnz_04460","Chloramphenicol",48.87233435,2.992609,0.838136,3.570553518,0.000356,0.002771,"Biosynthetic"
"vnz_04465","Chloramphenicol",96.44970645,1.429013,0.768295,1.859979901,0.062888,0.182055,"Biosynthetic"
"vnz_04470","Chloramphenicol",127.6583513,1.91467,0.79686,2.402768805,0.016271,0.066628,"Biosynthetic"
"vnz_04475","Chloramphenicol",270.6974443,1.419601,0.607949,2.335063552,0.01954,0.076793,"Biosynthetic"
"vnz_22830","Melanin",97.46446283,-0.761129,0.480848,-1.58288797,0.113447,0.27117,"Biosynthetic"
"vnz_22835","Melanin",28.91257114,0.151694,0.626715,0.242046281,0.808744,0.90529,"Biosynthetic"
"vnz_22840","Melanin",46.8449332,-0.583193,0.473041,-1.23285999,0.217628,0.411644,"Biosynthetic"
"vnz_22845","Melanin",209.1172298,-1.235727,0.371026,-3.3305655,0.000867,0.00605,"Biosynthetic"
"vnz_22850","Melanin",104.2346255,-0.196063,0.580427,-0.33779063,0.735521,0.864356,"Biosynthetic"
"vnz_22855","Melanin",155.5572937,-0.211359,0.377554,-0.55981123,0.575608,0.749201,"Biosynthetic"
"vnz_22860","Melanin",27.46871342,-0.032455,0.631274,-0.0514117,0.958997,0.98188,"Biosynthetic"
"vnz_22865","Melanin",86.05691833,-0.37338,0.420481,-0.88798317,0.37455,0.579749,"Biosynthetic"
"vnz_22870","Melanin",413.1072806,-1.254372,0.36097,-3.47500388,0.000511,0.003806,"Biosynthetic"
"vnz_22875","Melanin",67.73086535,-1.148607,0.612513,-1.87523569,0.06076,0.177932,"Biosynthetic"
"vnz_22880","Melanin",94.83942538,-0.979659,0.528403,-1.85399711,0.06374,0.183842,"Biosynthetic"
"vnz_22885","Melanin",380.8486531,-2.175791,0.40686,-5.34776374,8.9e-08,1.52e-06,"Biosynthetic"
"vnz_22890","Melanin",60.03414036,-0.893101,0.561398,-1.59085262,0.111643,0.268466,"Biosynthetic"
"vnz_22895","Melanin",273.7030535,-0.728775,0.53598,-1.35970495,0.173923,0.358458,"Biosynthetic"
"vnz_22900","Melanin",42.59721042,-0.975825,0.454479,-2.14712945,0.031783,0.110763,"Biosynthetic"
"vnz_22905","Melanin",18.94507865,-0.252021,0.68889,-0.3658363,0.714487,0.850358,"Biosynthetic"
"vnz_22915","Melanin",11.01690938,-1.386347,0.843853,-1.64287785,0.100408,0.249731,"Biosynthetic"
"vnz_22920","Melanin",6.742742229,-0.48972,1.068757,-0.45821421,0.646799,0.802039,"Biosynthetic"
"vnz_22925","Melanin",10.45453092,-0.121093,0.849547,-0.14253777,0.886655,0.943296,"Biosynthetic"
