geneID,Name,BaseMean,Log2FC,StErr,WaldStats,P-val,P-agj,Function
vnz_09625,phoA,78.80534348,-1.49887316,0.908063646,-1.65062566,0.098815035,0.231374,Nitrogen_phosphate
vnz_11080,nasA,85.38586725,-1.5558949,1.405137129,-1.10729043,0.26816838,0.473338,Nitrogen_phosphate
vnz_11140,nirB,144.5062358,0,1.575022068,0,1,1,Nitrogen_phosphate
vnz_11145,nirB,235.3464853,-1.02090274,1.193973216,-0.8550466,0.392525352,0.601896,Nitrogen_phosphate
vnz_11150,nirC,39.26246087,1.00132574,1.517622931,0.659798767,0.509382974,0.706427,Nitrogen_phosphate
vnz_13340,nnaR,38.69424287,-4.86640445,1.236431246,-3.9358472,8.29E-05,0.00062,Nitrogen_phosphate
vnz_13345,narK,37.51087458,-0.24934998,0.884649563,-0.28186301,0.778048557,0.885408,Nitrogen_phosphate
vnz_19250,pstB,455.9487078,-4.50512206,0.938429624,-4.80070316,1.58E-06,1.64E-05,Nitrogen_phosphate
vnz_19255,pstA,359.0499235,-5.24864693,1.026287327,-5.11420807,3.15E-07,3.65E-06,Nitrogen_phosphate
vnz_19260,pstC,473.2284539,-5.07675682,0.968209563,-5.24344834,1.58E-07,1.93E-06,Nitrogen_phosphate
vnz_19265,pstS,2533.495193,-5.06426602,0.960544668,-5.27228581,1.35E-07,1.68E-06,Nitrogen_phosphate
vnz_19575,phoU,513.0053479,-4.0104312,0.955658275,-4.19651177,2.71E-05,0.000225,Nitrogen_phosphate
vnz_26110,amtB,35.87415563,-2.67209211,0.554344558,-4.82027301,1.43E-06,1.49E-05,Nitrogen_phosphate
vnz_26115,glnK,27.41229665,-1.29953374,0.68569425,-1.89520874,0.058064753,0.157232,Nitrogen_phosphate
vnz_26120,glnD,31.4495875,0.639129894,0.567065597,1.127082823,0.259707465,0.464467,Nitrogen_phosphate
vnz_27065,rshA,455.8401063,2.082290296,0.422471809,4.928826618,8.27E-07,9.00E-06,Nitrogen_phosphate
vnz_34930,NA,80.73897157,0.398643997,1.10615946,0.360385651,0.718558756,0.84704,Nitrogen_phosphate
vnz_02070,nuoA,811.8619584,-1.448093,0.298868,-4.84526627,1.26E-06,1.33E-05,TCA_ComplexI
vnz_08885,nuoB,1739.38019,-0.590708,0.340116,-1.73678291,0.082425,0.2037,TCA_ComplexI
vnz_09030,nuoC,1000.254081,-1.463678,0.321,-4.55973917,5.12E-06,4.87E-05,TCA_ComplexI
vnz_09045,nuoD,560.5350019,-1.90134,0.285504,-6.65959491,2.75E-11,6.23E-10,TCA_ComplexI
vnz_18250,nuoE,237.2399282,-0.968473,0.402222,-2.40780677,0.016049,0.057952,TCA_ComplexI
vnz_18335,nuoF,289.2614626,-1.049632,0.325722,-3.22248021,0.001271,0.007043,TCA_ComplexI
vnz_20755,nuoG,182.5463362,-0.788482,0.329985,-2.3894449,0.016874,0.060329,TCA_ComplexI
vnz_21055,nuoH,146.9545941,1.945982,0.488532,3.983326817,6.80E-05,0.000521,TCA_ComplexI
vnz_21060,nuoI,123.4660222,3.014259,0.499707,6.032052822,1.62E-09,2.69E-08,TCA_ComplexI
vnz_21065,nuoJ,96.82717923,2.732167,0.488961,5.587703816,2.30E-08,3.22E-07,TCA_ComplexI
vnz_21070,nuoK,218.029392,4.203665,0.51285,8.196679295,2.47E-16,1.02E-14,TCA_ComplexI
vnz_21075,nuoL,99.67653857,3.791685,0.569049,6.663191187,2.68E-11,6.10E-10,TCA_ComplexI
vnz_21080,nuoM,215.2796891,4.111116,0.481496,8.538219629,1.36E-17,6.88E-16,TCA_ComplexI
vnz_21085,nuoN,364.249456,4.55829,0.46463,9.810570569,1.01E-22,8.92E-21,TCA_ComplexI
vnz_21090,icd,279.2319924,4.482299,0.505273,8.871039453,7.25E-19,4.10E-17,TCA_ComplexI
vnz_21095,cox1,99.86520707,3.651614,0.575091,6.349632904,2.16E-10,4.18E-09,TCA_ComplexI
vnz_21100,pdhL,189.0198358,4.516391,0.559892,8.066540279,7.23E-16,2.80E-14,TCA_ComplexI
vnz_21105,aceE1,79.95658127,4.128917,0.671983,6.144380595,8.03E-10,1.40E-08,TCA_ComplexI
vnz_21110,cydB,373.9529939,4.598406,0.471388,9.755026432,1.76E-22,1.50E-20,TCA_ComplexI
vnz_21115,Dihydrolipoamide dehydrogenase,292.4567532,5.59817,0.549523,10.18733025,2.26E-24,2.58E-22,TCA_ComplexI
vnz_21120,citrate synthase,261.0226792,5.096404,0.527444,9.662463174,4.35E-22,3.59E-20,TCA_ComplexI
vnz_21240,2-oxoacid:ferredoxin oxidoreductase subunit beta,241.8011024,-0.243376,0.345753,-0.70390162,0.481494,0.682737,TCA_ComplexI
vnz_21245,2-oxoglutarate ferredoxin oxidoreductase subunit alpha,520.0627862,-0.494789,0.314487,-1.57331935,0.115645,0.259126,TCA_ComplexI
vnz_22160,sucC,1530.904445,-0.642464,0.329971,-1.94703293,0.051531,0.144096,TCA_ComplexI
vnz_22230,mdh,911.8787487,-0.927912,0.305456,-3.03779018,0.002383,0.011993,TCA_ComplexI
vnz_22395,sdhA,665.0680749,-0.655976,0.303244,-2.16319434,0.030526,0.095497,TCA_ComplexI
vnz_22400,sdhD,147.5381041,-0.682876,0.346483,-1.9708793,0.048738,0.138427,TCA_ComplexI
vnz_22405,sdhC,214.3351323,-0.700297,0.321339,-2.17930865,0.029309,0.092624,TCA_ComplexI
vnz_23020,phosphoenolpyruvate carboxykinase,78.74154548,-0.774192,0.448768,-1.72515139,0.0845,0.206863,TCA_ComplexI
vnz_28745,acnA,732.3123118,-2.14886,0.358856,-5.98808724,2.12E-09,3.47E-08,TCA_ComplexI
